FY ,Quarter,Month(As on),MFI_Name,AUM_RsCr,TotalAssets_RsCr,OnBS_OS_MFL-RsCr,MFL_P_TA,QualifyingAssets_P,Wavg_CoB,Avg_OperatingCost_P,Max_Interest Rate_MFL,Min_Interest Rate_MFL,Wavg_InterestRate_MFL, AverageTicketSize ,Off-BS_MFL_Port_RsCr,BusinessCorrespondent,Securitised_Portfolio,Assigned_Portfolio,SPV_Portfolio_PTC_RsCr,NPA_Portfolio_RsCr,GrossNPA_P_OnBS MFL,NetNPA_P_OnBS MFL,DPD_G30Days_Lakhs,DPD_G30Days_P_OnBS MFL,DPD_G60Days_Lakhs,DPD_G60Days_P_OnBS MFL,DPD_G90Days_Lakhs,DPD_G90Days_P_OnBS MFL,DPD_G180Days_Lakhs,DPD_G180Days_P_OnBS MFL,TotalEquity_P_TA,Promoter_P_TA,FDI_P_TA,Others_P_TA,AIFIs_P_TA,Top5_Banks_P,OtherBanks_P,SFBs_P,Banks_P_TA,NBE_TA,ECB_P_TA,Others_P_TA,TermLoan_P_TA,Debentures_P_TA,SuborditedDebt_P_TA,CommercialPapers_P_TA,AnyOther_P_TA,Income_OnBS MFL_Port_P_TA,Income_OffBS MFL_Port_P_TA,I_NonCredit_FP_TA,I_NonCredit_NFProducts_TA,Share_Income_Activities_Direct Lending,OperatingProfit_RsCr,NetProfit_RsCr,ROA_P,ROE_P,L20P_LRs50000,L20P_GRs50000to1Lak,L20P_GRs1LaktoLRs1p5Lak,L20P_GRs1p5LaktoLRs2lak,L20P_GRs2laktoLRs2p5Lak,L20P_GRs2p5LaktoLRs3Lak,G20ptoL30p_LRs50000,G20ptoL30p_LRs50000toLRs1Lak ,G20ptoL30p_GRs1LaktoLRs1p5Lak,G20ptoL30p_GRs1p5LaktoLRs2Lak,G20ptoL30p_GRs2LaktoLR2p5Lak,G20ptoL30p_GRs2p5LaktoLRs3Lak,G30ptoL40p_LRs50000,G30ptoL40p_GRs50000toLRs1Lak ,G30ptoL40p_GRs1LaktoLRs1p5Lak,G30ptoL40p_GRs1p5LaktoLRs2Lak,G30ptoL40p_GRs2LaktoLRs2p5Lak,G30ptoL40p_GRs2p5LaktoLRs3Lak,G40ptoL50p_LR50000,G40ptoL50p_GRs50000toLRs1Lak ,G40ptoL50p_GRs1LaktoLRs1p5Lak,G40ptoL50p_GRs1p5LaktoLRs2Lak,G40ptoL50p_GRs2LaktoLRs2p5Lak,G40ptoL50p_GRs2p5LaktoLRs3Lak
FY 19-20,Q1 FY 19-20,Jun-19,NEED Livelihood Microfinance Pvt Ltd,52.44,45.83,,,88.81%,16.16%,9.96%,,,25.32%,0,,,,,,0.44,2.15%,,108.50,2.07%,68.41,1.30%,43.68,0.83%,14.89,0.28%,,,,,,,,0.00,18.47,81.53,0.00,0.00,,,,,,,,,,1.80%,0.22,0.17,0.36%,1.22%,,,,,,,,,,,,,,,,,,,,,,,,
FY 19-20,Q1 FY 19-20,Jun-19,Nightingale Finvest Pvt Ltd,100.08,103.85,,,78.18%,14.31%,8.12%,,,23.52%,32380,,,,,,0.00,0.00%,,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,,,,,,,,1.13,56.10,42.77,0.00,0.00,,,,,,,,,,14.92%,4.99,4.68,11.22%,1.22%,,,,,,,,,,,,,,,,,,,,,,,,
FY 19-20,Q1 FY 19-20,Jun-19,Pahal Financial Services Pvt Ltd,540.36,522.92,,,90.30%,15.89%,6.63%,,,25.32%,36704,,,,,,0.31,0.07%,,205.57,0.38%,136.16,0.25%,99.66,0.18%,16.07,0.03%,,,,,,,,10.04,7.02,44.18,0.00,38.75,,,,,,,,,,5.46%,5.47,2.89,2.27%,19.72%,,,,,,,,,,,,,,,,,,,,,,,,
FY 19-20,Q1 FY 19-20,Jun-19,Saija Finance Pvt Ltd,420.93,443.39,,,107.52%,14.37%,2.42%,,,25.33%,27757,,,,,,11.53,3.41%,,1816.47,4.32%,1419.39,3.37%,1244.70,2.96%,900.04,2.14%,,,,,,,,2.96,18.86,58.22,0.00,19.95,,,,,,,,,,1.74%,1.46,0.99,2.82%,1.51%,,,,,,,,,,,,,,,,,,,,,,,,
FY 19-20,Q1 FY 19-20,Jun-19,Samasta Micro Finance Ltd,2357.66,1875.64,,,98.37%,10.96%,10.61%,,,20.96%,25833,,,,,,20.94,0.62%,,2788.60,1.18%,1710.52,0.73%,1457.96,0.62%,944.86,0.40%,,,,,,,,0.00,48.85,6.73,0.00,44.42,,,,,,,,,,13.83%,43.96,22.43,4.73%,33.61%,,,,,,,,,,,,,,,,,,,,,,,,
FY 19-20,Q1 FY 19-20,Jun-19,Sambandh Finserv Pvt Ltd,321.21,373.28,,,93.53%,14.54%,6.84%,,,24.11%,29479,,,,,,1.44,0.58%,,264.31,0.82%,182.34,0.57%,144.15,0.45%,78.74,0.25%,,,,,,,,2.61,38.27,54.63,4.49,0.00,,,,,,,,,,13.55%,12.55,1.27,1.37%,9.47%,,,,,,,,,,,,,,,,,,,,,,,,
FY 19-20,Q1 FY 19-20,Jun-19,Sarala Development & Microfinance Pvt Ltd,214.16,218.00,,,92.37%,14.43%,4.26%,,,23.57%,23075,,,,,,1.63,0.98%,,275.45,1.29%,237.51,1.11%,221.35,1.03%,183.94,0.86%,,,,,,,,5.71,40.91,53.38,0.00,0.00,,,,,,,,,,3.29%,3.70,2.23,3.99%,24.06%,,,,,,,,,,,,,,,,,,,,,,,,
FY 19-20,Q1 FY 19-20,Jun-19,Satin Credit Care Network Ltd,6466.83,6758.32,,,86.87%,12.42%,6.40%,,,21.09%,28541,,,,,,178.07,2.75%,,22047.71,3.41%,18902.94,2.92%,17806.62,2.75%,15534.71,2.40%,,,,,,,,0.00,34.84,35.90,0.82,28.44,,,,,,,,,,18.45%,83.04,41.38,2.46%,13.50%,,,,,,,,,,,,,,,,,,,,,,,,
FY 19-20,Q1 FY 19-20,Jun-19,SAVE Microfinance Pvt Ltd,40.69,46.71,,,94.49%,12.00%,3.02%,,,24.00%,26032,,,,,,0.00,0.00%,,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,,,,,,,,,,,,,,,,,,,,,,48.58%,0.16,0.04,0.08%,0.25%,,,,,,,,,,,,,,,,,,,,,,,,
FY 19-20,Q1 FY 19-20,Jun-19,Satya MicroCapital Ltd,651.34,770.78,,,88.17%,15.20%,8.61%,,,24.13%,32570,,,,,,0.43,0.07%,,426.31,0.65%,49.82,0.08%,42.77,0.07%,17.97,0.03%,,,,,,,,5.93,39.09,30.57,0.00,24.40,,,,,,,,,,14.48%,3.83,3.23,1.74%,13.89%,,,,,,,,,,,,,,,,,,,,,,,,
FY 19-20,Q1 FY 19-20,Jun-19,Share Microfin Ltd,792.16,839.82,,,100.00%,15.86%,13.05%,,,23.00%,28648,,,,,,0.00,1.69%,,1312.46,1.66%,1299.06,1.64%,1287.88,1.63%,1259.14,1.59%,,,,,,,,0.00,98.80,1.20,0.00,0.00,,,,,,,,,,1.70%,7.07,6.61,3.16%,3.42%,,,,,,,,,,,,,,,,,,,,,,,,
FY 19-20,Q1 FY 19-20,Jun-19,Shikhar Micrfinance Pvt Ltd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FY 19-20,Q1 FY 19-20,Jun-19,Sindhuja Microcredit Pvt Ltd,85.71,69.93,,,88.04%,15.34%,10.23%,,,25.15%,28760,,,,,,0.00,0.00%,,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,,,,,,,,4.79,0.00,95.21,0.00,0.00,,,,,,,,,,11.38%,-0.06,-0.06,0.37%,-1.72%,,,,,,,,,,,,,,,,,,,,,,,,
FY 19-20,Q1 FY 19-20,Jun-19,Sonata Finance Pvt Ltd,1500.57,1258.10,,,95.00%,13.54%,5.90%,,,22.10%,34879,,,,,,29.90,2.71%,,5580.26,3.72%,4692.15,3.13%,4059.41,2.71%,2670.61,1.78%,,,,,,,,0.76,33.42,38.06,0.00,27.76,,,,,,,,,,9.67%,27.82,12.57,3.90%,25.80%,,,,,,,,,,,,,,,,,,,,,,,,
FY 19-20,Q1 FY 19-20,Jun-19,Spandana Sphoorty Financial Ltd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FY 19-20,Q1 FY 19-20,Jun-19,SV Creditline Pvt Ltd,754.73,638.86,,,88.74%,15.43%,10.16%,,,24.80%,30372,,,,,,13.83,2.17%,,3581.54,4.75%,2359.01,3.13%,1383.35,1.83%,312.47,0.41%,,,,,,,,0.00,1.81,49.18,0.00,49.01,,,,,,,,,,2.84%,3.52,3.07,0.48%,2.82%,,,,,,,,,,,,,,,,,,,,,,,,
FY 19-20,Q1 FY 19-20,Jun-19,Svamaan Financial Services Pvt Ltd,5.40,8.73,,,71.26%,12.45%,93.00%,,,23.00%,19854,,,,,,0.00,0.00%,,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,,,,,,,,0.00,0.00,100.00,0.00,0.00,,,,,,,,,,10.08%,-2.00,-2.07,-27.00%,-39.00%,,,,,,,,,,,,,,,,,,,,,,,,
FY 19-20,Q1 FY 19-20,Jun-19,Svasti Microfinance Pvt Ltd,322.74,249.64,,,87.74%,14.61%,22.28%,,,24.56%,30166,,,,,,2.68,0.19%,,190.94,0.59%,123.60,0.38%,63.79,0.20%,18.93,0.06%,,,,,,,,4.86,10.60,41.42,0.00,43.12,,,,,,,,,,24.29%,4.00,2.89,4.51%,19.82%,,,,,,,,,,,,,,,,,,,,,,,,
FY 19-20,Q1 FY 19-20,Jun-19,Svatantra Microfin Pvt Ltd,1406.91,1445.54,,,94.27%,11.03%,7.87%,,,18.90%,33037,,,,,,30.20,2.41%,,3341.15,2.37%,3145.61,2.24%,3019.98,2.15%,2723.70,1.94%,,,,,,,,4.29,68.49,20.78,0.00,6.44,,,,,,,,,,0.00%,10.62,5.08,1.47%,10.31%,,,,,,,,,,,,,,,,,,,,,,,,
FY 19-20,Q1 FY 19-20,Jun-19,Unacco Finance Pvt Ltd,113.59,132.24,,,95.21%,14.60%,6.48%,,,23.53%,25897,,,,,,,,,32.70,0.29%,27.44,0.24%,23.69,0.21%,16.46,0.14%,,,,,,,,0.00,45.97,54.03,0.00,0.00,,,,,,,,,,2.48%,1.30,2.87,5.89%,24.21%,,,,,,,,,,,,,,,,,,,,,,,,
FY 19-20,Q1 FY 19-20,Jun-19,Unnati Microfin Pvt Ltd,67.67,66.42,,,,,,,,,33033,,,,,,0.54,,,3.62,0.05%,2.87,0.04%,11.07,0.16%,85.34,1.26%,,,,,,,,0.00,23.82,76.18,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FY 19-20,Q1 FY 19-20,Jun-19,Varam Capital Pvt Ltd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FY 19-20,Q1 FY 19-20,Jun-19,Vaya FinServ Pvt Ltd,1080.23,626.08,,,87.71%,13.68%,5.06%,,,22.56%,28792,,,,,,5.77,0.15%,,2303.92,2.13%,785.20,0.73%,577.43,0.53%,252.17,0.23%,,,,,,,,5.94,19.23,29.27,0.00,45.56,,,,,,,,,,41.91%,15.68,8.93,3.26%,19.88%,,,,,,,,,,,,,,,,,,,,,,,,
FY 19-20,Q1 FY 19-20,Jun-19,Village Financial Services Ltd,1045.96,932.39,,,95.71%,13.69%,5.75%,,,21.63%,32419,,,,,,4.23,0.40%,,545.15,0.52%,479.60,0.46%,423.19,0.40%,313.03,0.30%,,,,,,,,2.82,47.10,50.07,0.00,0.00,,,,,,,,,,14.94%,14.56,8.76,2.88%,26.94%,,,,,,,,,,,,,,,,,,,,,,,,
FY 19-20,Q2 FY 19-20,Sep-19,Adhikar Microfinance Private Limited,182.32,136.18,,,89.31%,14.65%,7.00%,,,24.50%,31833,,,,,,0.53,0.59%,,250.00,1.37%,197.29,1.08%,162.31,0.89%,95.13,0.52%,,,,,,,,3.06,39.26,55.61,2.07,0.00,,,,,,,,,,31.77%,2.02,1.17,1.52%,10.36%,,,,,,,,,,,,,,,,,,,,,,,,
FY 19-20,Q2 FY 19-20,Sep-19,Adi Chitragupta Finance Limited,64.86,68.59,,,95.00%,13.96%,11.00%,,,21.08%,29217,,,,,,0.00,0.01%,,0.69,0.01%,0.53,0.01%,0.53,0.01%,0.45,0.01%,,,,,,,,0.00,0.00,12.77,0.00,87.23,,,,,,,,,,1.00%,1.11,1.11,3.23%,20.25%,,,,,,,,,,,,,,,,,,,,,,,,
FY 19-20,Q2 FY 19-20,Sep-19,Agora Microfinance India Ltd,45.56,49.82,,,86.59%,15.80%,11.80%,,,26.30%,30789,,,,,,0.00,1.17%,,2.29,0.05%,2.09,0.05%,3.13,0.07%,45.64,1.00%,,,,,,,,0.00,5.11,79.66,15.23,0.00,,,,,,,,,,0.05%,0.57,0.49,2.10%,6.60%,,,,,,,,,,,,,,,,,,,,,,,,
FY 19-20,Q2 FY 19-20,Sep-19,Annapurna Finance Private Limited,3425.39,3604.24,,,88.80%,12.01%,7.35%,,,21.90%,35988,,,,,,45.03,1.52%,,5563.12,1.62%,4867.01,1.42%,4503.46,1.31%,3725.48,1.09%,,,,,,,,2.64,47.85,16.77,6.62,26.12,,,,,,,,,,16.58%,73.91,36.99,2.30%,12.02%,,,,,,,,,,,,,,,,,,,,,,,,
FY 19-20,Q2 FY 19-20,Sep-19,Arohan Financial Services Limited,4614.45,,,,,,,,,,30014,,,,,,,0.85%,,6568.78,1.42%,4846.63,1.05%,3762.57,0.82%,1805.37,0.39%,,,,,,,,2.87,66.44,3.49,2.78,24.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FY 19-20,Q2 FY 19-20,Sep-19,Arth Micro Finance Pvt Ltd,275.36,97.25,,,91.88%,17.84%,7.50%,,,24.04%,31106,,,,,,0.00,0.00%,,14.35,0.05%,7.36,0.03%,0.00,0.00%,0.00,0.00%,,,,,,,,0.00,33.11,66.89,0.00,0.00,,,,,,,,,,49.40%,2.20,1.59,1.72%,19.47%,,,,,,,,,,,,,,,,,,,,,,,,
FY 19-20,Q2 FY 19-20,Sep-19,ASA International India Microfinance Limited,1252.70,1114.50,,,88.32%,13.31%,6.76%,,,23.25%,28843,,,,,,7.09,0.56%,,1645.14,1.31%,1513.16,1.21%,709.00,0.57%,503.46,0.40%,,,,,,,,3.56,27.65,29.51,2.46,36.83,,,,,,,,,,0.82%,23.82,16.68,3.79%,22.27%,,,,,,,,,,,,,,,,,,,,,,,,
FY 19-20,Q2 FY 19-20,Sep-19,Asirvad Microfinance Limited,4724.25,3684.73,,,91.48%,11.60%,5.10%,,,21.70%,23149,,,,,,0.00,0.86%,,6007.03,1.27%,4786.20,1.01%,4064.24,0.86%,2604.59,0.55%,,,,,,,,2.64,63.50,8.06,0.00,25.80,,,,,,,,,,34.32%,188.79,115.76,5.47%,28.61%,,,,,,,,,,,,,,,,,,,,,,,,
FY 19-20,Q2 FY 19-20,Sep-19,Avanti Finance Ltd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FY 19-20,Q2 FY 19-20,Sep-19,Aviral Finance Pvt Ltd,30.07,31.03,,,89.64%,16.65%,9.15%,,,24.88%,28249,,,,,,0.23,0.91%,,36.39,1.21%,29.36,0.98%,22.80,0.76%,11.73,0.39%,,,,,,,,0.00,1.00,74.84,0.00,24.16,,,,,,,,,,6.17%,-0.14,-0.17,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,
FY 19-20,Q2 FY 19-20,Sep-19,Belstar Investment and Finance Pvt Ltd,2106.14,2209.43,,,87.54%,11.06%,7.86%,,,20.32%,30774,,,,,,18.94,1.26%,,3099.81,1.47%,2629.46,1.25%,2283.44,1.08%,1503.59,0.71%,,,,,,,,0.00,82.09,5.33,0.00,12.58,,,,,,,,,,0.24%,222.08,50.93,4.79%,23.94%,,,,,,,,,,,,,,,,,,,,,,,,
FY 19-20,Q2 FY 19-20,Sep-19,BWDA Financial Ltd,52.70,35.57,,,89.50%,15.65%,93.55%,,,24.00%,25090,,,,,,0.00,0.52%,,27.90,0.53%,27.28,0.52%,27.22,0.52%,26.38,0.50%,,,,,,,,0.00,15.67,84.33,0.00,0.00,,,,,,,,,,27.55%,1.23,1.23,3.61%,5.26%,,,,,,,,,,,,,,,,,,,,,,,,
FY 19-20,Q2 FY 19-20,Sep-19,Centrum MicroCredit Ltd,278.55,381.10,,,93.67%,14.29%,8.73%,,,24.15%,30334,,,,,,1.21,0.44%,,145.20,0.52%,132.29,0.47%,120.84,0.43%,43.29,0.16%,,,,,,,,7.35,4.36,62.14,0.00,26.14,,,,,,,,,,0.00%,1.77,0.59,0.18%,1.07%,,,,,,,,,,,,,,,,,,,,,,,,
FY 19-20,Q2 FY 19-20,Sep-19,Chaitanya India Fin Credit Pvt Ltd,674.79,655.09,,,93.27%,9.71%,9.10%,,,23.81%,27364,,,,,,5.28,0.95%,,928.02,1.38%,583.99,0.87%,537.00,0.80%,483.70,0.72%,,,,,,,,3.67,33.14,21.96,0.00,41.23,,,,,,,,,,2.88%,13.09,5.55,1.80%,13.50%,,,,,,,,,,,,,,,,,,,,,,,,
FY 19-20,Q2 FY 19-20,Sep-19,CreditAccess Grameen Ltd,7905.04,8316.65,,,91.13%,10.32%,5.28%,,,19.32%,16713,,,,,,27.34,0.37%,,7232.22,0.91%,3945.82,0.50%,3239.58,0.41%,1721.00,0.22%,,,,,,,,0.00,61.90,26.14,4.38,7.58,,,,,,,,,,3.36%,160.94,100.88,5.01%,16.10%,,,,,,,,,,,,,,,,,,,,,,,,
FY 19-20,Q2 FY 19-20,Sep-19,Fino Finance Pvt Ltd,525.08,415.06,,,85.83%,14.30%,10.00%,,,23.00%,37365,,,,,,12.32,2.50%,,2386.97,4.55%,2099.69,4.00%,1232.24,2.35%,436.86,0.83%,,,,,,,,0.00,50.47,31.66,0.00,17.87,,,,,,,,,,30.35%,107.36,0.70,0.43%,1.60%,,,,,,,,,,,,,,,,,,,,,,,,
FY 19-20,Q2 FY 19-20,Sep-19,Fusion Microfinance Pvt Ltd,3059.87,3721.45,,,94.24%,12.97%,6.44%,,,21.33%,29272,,,,,,38.22,1.36%,,5632.05,1.84%,4847.44,1.58%,4229.90,1.38%,2942.79,0.96%,,,,,,,,4.46,64.59,11.40,0.00,19.54,,,,,,,,,,8.10%,765.70,46.66,2.62%,14.45%,,,,,,,,,,,,,,,,,,,,,,,,
FY 19-20,Q2 FY 19-20,Sep-19,Growing Opportunity Finance India Pvt Ltd,231.53,277.62,,,85.23%,14.75%,6.21%,,,24.24%,39629,,,,,,0.00,0.02%,,0.18,0.00%,0.00,0.00%,0.61,0.00%,4.59,0.02%,,,,,,,,2.20,27.97,69.84,0.00,0.00,,,,,,,,,,0.00%,5.90,3.89,2.81%,18.59%,,,,,,,,,,,,,,,,,,,,,,,,
FY 19-20,Q2 FY 19-20,Sep-19,G U Financial Services Pvt Ltd,114.85,90.50,,,89.42%,15.75%,5.84%,,,24.40%,31570,,,,,,0.60,0.52%,,105.19,0.92%,79.94,0.70%,60.19,0.52%,18.29,0.16%,,,,,,,,0.00,43.01,56.99,0.00,0.00,,,,,,,,,,2.31%,1.46,1.08,2.70%,17.65%,,,,,,,,,,,,,,,,,,,,,,,,
FY 19-20,Q2 FY 19-20,Sep-19,Hindusthan Microfinance Pvt Ltd,17.43,29.57,,,86.52%,14.75%,13.67%,,,24.93%,0,,,,,,0.00,0.05%,,9.27,0.53%,4.24,0.24%,0.86,0.05%,0.00,0.00%,,,,,,,,0.00,92.04,7.96,0.00,0.00,,,,,,,,,,34.61%,1.04,0.16,0.55%,1.48%,,,,,,,,,,,,,,,,,,,,,,,,
FY 19-20,Q2 FY 19-20,Sep-19,Inditrade Microfinance Ltd,283.12,249.52,,,93.88%,15.61%,7.61%,,,25.24%,28896,,,,,,0.99,0.35%,,241.19,0.85%,166.01,0.59%,99.31,0.35%,0.00,0.00%,,,,,,,,4.80,9.39,74.66,0.00,11.16,,,,,,,,,,3.28%,15.84,2.86,1.10%,7.30%,,,,,,,,,,,,,,,,,,,,,,,,
FY 19-20,Q2 FY 19-20,Sep-19,Jagaran Microfin Pvt Ltd,407.62,502.49,,,87.56%,15.74%,6.04%,,,24.75%,27644,,,,,,1.25,0.32%,,197.57,0.48%,160.05,0.39%,130.16,0.32%,74.57,0.18%,,,,,,,,0.00,0.00,100.00,0.00,0.00,,,,,,,,,,2.91%,17.91,7.55,3.01%,16.39%,,,,,,,,,,,,,,,,,,,,,,,,
FY 19-20,Q2 FY 19-20,Sep-19,Janakalyan financial services Pvt ltd,201.31,167.51,,,93.95%,14.90%,5.66%,,,25.16%,24645,,,,,,0.00,0.06%,,41.08,0.20%,29.64,0.15%,22.81,0.11%,13.41,0.07%,,,,,,,,14.59,20.29,53.70,0.00,11.42,,,,,,,,,,23.03%,4.29,2.90,2.25%,13.21%,,,,,,,,,,,,,,,,,,,,,,,,
FY 19-20,Q2 FY 19-20,Sep-19,Light Microfinance Pvt Ltd,363.97,,,,85.07%,14.00%,8.00%,,,25.00%,36237,,,,,,1.75,0.88%,,402.05,1.10%,358.97,0.99%,320.94,0.88%,231.06,0.63%,,,,,,,,1.66,50.56,35.41,0.00,12.38,,,,,,,,,,,1.94,1.40,0.51%,3.81%,,,,,,,,,,,,,,,,,,,,,,,,
FY 19-20,Q2 FY 19-20,Sep-19,M Power Micro Finance Pvt Ltd,246.24,199.02,,,87.39%,16.75%,10.08%,,,25.25%,33465,,,,,,0.00,1.44%,,386.89,1.57%,318.50,1.29%,281.51,1.14%,189.70,0.77%,,,,,,,,3.88,17.67,73.30,0.00,5.14,,,,,,,,,,5.15%,1.23,0.35,0.32%,2.65%,,,,,,,,,,,,,,,,,,,,,,,,
FY 19-20,Q2 FY 19-20,Sep-19,Madura Micro Finance Ltd,2099.39,2061.88,,,95.61%,11.54%,5.15%,,,21.43%,302459,,,,,,27.81,1.41%,,8323.93,3.96%,5022.61,2.39%,3005.25,1.43%,0.00,0.00%,,,,,,,,4.61,55.46,28.58,1.22,10.13,,,,,,,,,,5.72%,23.37,47.30,4.67%,27.45%,,,,,,,,,,,,,,,,,,,,,,,,
FY 19-20,Q2 FY 19-20,Sep-19,Margdarshak Financial Services Ltd,313.90,346.16,,,93.49%,16.11%,8.53%,,,25.25%,21119,,,,,,0.02,0.01%,,88.13,0.28%,53.46,0.17%,22.06,0.07%,17.36,0.06%,,,,,,,,7.90,31.04,53.84,0.00,7.22,,,,,,,,,,10.51%,4.80,1.95,1.29%,12.43%,,,,,,,,,,,,,,,,,,,,,,,,
FY 19-20,Q2 FY 19-20,Sep-19,Midland Microfin Ltd,685.53,874.06,,,95.95%,15.21%,8.78%,,,25.20%,28382,,,,,,2.77,0.48%,,354.06,0.52%,324.87,0.47%,306.24,0.45%,279.09,0.41%,,,,,,,,0.00,40.40,42.22,5.91,11.47,,,,,,,,,,13.09%,14.37,9.26,2.47%,16.42%,,,,,,,,,,,,,,,,,,,,,,,,
FY 19-20,Q2 FY 19-20,Sep-19,Mitrata Inclusive Financial Services Pvt Ltd,54.86,63.67,,,86.33%,16.93%,11.62%,,,25.13%,28370,,,,,,0.00,0.00%,,0.43,0.01%,0.39,0.01%,0.00,0.00%,0.00,0.00%,,,,,,,,0.00,0.00,98.77,0.00,1.23,,,,,,,,,,2.14%,0.04,0.03,0.26%,0.83%,,,,,,,,,,,,,,,,,,,,,,,,
FY 19-20,Q2 FY 19-20,Sep-19,MSM Microfinance Pvt Ltd,45.49,43.30,,,85.89%,21.78%,6.24%,,,25.34%,26577,,,,,,0.59,2.38%,,120.10,2.64%,112.68,2.48%,110.30,2.42%,105.81,2.33%,,,,,,,,0.00,2.58,80.87,0.00,16.54,,,,,,,,,,22.39%,0.42,0.12,33.91%,1.33%,,,,,,,,,,,,,,,,,,,,,,,,
FY 19-20,Q2 FY 19-20,Sep-19,Muthoot Microfin Ltd,4747.28,3610.38,,,87.91%,11.73%,3.81%,,,21.60%,34129,,,,,,152.39,6.53%,,24778.14,5.22%,21357.55,4.50%,15239.42,3.21%,4781.10,1.01%,,,,,,,,0.00,84.79,4.01,0.00,11.20,,,,,,,,,,2.88%,136.23,44.81,1.26%,4.93%,,,,,,,,,,,,,,,,,,,,,,,,
FY 19-20,Q2 FY 19-20,Sep-19,Namra Finance Ltd,565.91,,,,,,,,,,25972,,,,,,3.85,,,595.45,1.05%,485.81,0.86%,385.43,0.68%,145.88,0.26%,,,,,,,,3.71,20.12,59.10,0.00,17.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FY 19-20,Q2 FY 19-20,Sep-19,NEED Livelihood Microfinance Pvt Ltd,49.78,40.95,,,93.43%,16.48%,11.90%,,,25.28%,28200,,,,,,0.21,0.78%,,135.76,2.73%,115.83,2.33%,100.73,2.02%,38.96,0.78%,,,,,,,,0.00,18.91,81.09,0.00,0.00,,,,,,,,,,3.58%,0.38,0.27,1.34%,3.98%,,,,,,,,,,,,,,,,,,,,,,,,
FY 19-20,Q2 FY 19-20,Sep-19,Nightingale Finvest Pvt Ltd,102.16,1162.64,,,92.15%,14.31%,6.42%,,,23.52%,32290,,,,,,0.00,0.42%,,51.08,0.50%,0.00,0.00%,0.00,0.00%,0.00,0.00%,,,,,,,,4.71,46.29,49.00,0.00,0.00,,,,,,,,,,33.55%,0.65,0.45,1.31%,12.00%,,,,,,,,,,,,,,,,,,,,,,,,
FY 19-20,Q2 FY 19-20,Sep-19,Saija Finance Pvt Ltd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FY 19-20,Q2 FY 19-20,Sep-19,Samasta Micro Finance Ltd,2708.79,1918.03,,,97.08%,12.22%,10.73%,,,21.64%,26589,,,,,,23.74,0.88%,,3582.14,1.32%,2791.61,1.03%,2320.18,0.86%,1354.40,0.50%,,,,,,,,0.00,48.45,7.86,0.00,43.69,,,,,,,,,,17.84%,51.21,47.90,7.35%,43.16%,,,,,,,,,,,,,,,,,,,,,,,,
FY 19-20,Q2 FY 19-20,Sep-19,Sambandh Finserv Pvt Ltd,365.50,384.02,,,93.76%,14.90%,7.49%,,,24.53%,29369,,,,,,2.57,0.40%,,351.90,0.96%,296.30,0.81%,256.58,0.70%,138.03,0.38%,,,,,,,,3.74,30.40,52.20,4.37,9.28,,,,,,,,,,7.88%,4.01,2.33,1.24%,17.78%,,,,,,,,,,,,,,,,,,,,,,,,
FY 19-20,Q2 FY 19-20,Sep-19,Sarala Development & Microfinance Pvt Ltd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FY 19-20,Q2 FY 19-20,Sep-19,Satin Credit Care Network Ltd,6413.56,6653.87,,,86.11%,12.60%,6.50%,,,21.01%,28839,,,,,,201.09,3.10%,,23985.50,3.74%,21692.98,3.38%,20108.83,3.14%,16889.37,2.63%,,,,,,,,0.00,43.87,10.26,2.21,43.66,,,,,,,,,,21.23%,172.63,96.11,2.88%,15.31%,,,,,,,,,,,,,,,,,,,,,,,,
